run_id,task_id,passed
qwen_lcb_regular_ft,LCB_0001,1
qwen_lcb_regular_ft,LCB_0002,0
qwen_lcb_regular_ft,LCB_0003,0
qwen_lcb_regular_ft,LCB_0004,0
qwen_lcb_regular_ft,LCB_0005,1
qwen_lcb_regular_ft,LCB_0006,0
qwen_lcb_regular_ft,LCB_0007,0
qwen_lcb_regular_ft,LCB_0008,0
qwen_lcb_regular_ft,LCB_0009,0
qwen_lcb_regular_ft,LCB_0010,0
qwen_lcb_regular_ft,LCB_0011,0
qwen_lcb_regular_ft,LCB_0012,1
qwen_lcb_regular_ft,LCB_0013,1
qwen_lcb_regular_ft,LCB_0014,0
qwen_lcb_regular_ft,LCB_0015,0
qwen_lcb_regular_ft,LCB_0016,0
qwen_lcb_regular_ft,LCB_0017,0
qwen_lcb_regular_ft,LCB_0018,1
qwen_lcb_regular_ft,LCB_0019,0
qwen_lcb_regular_ft,LCB_0020,0
qwen_lcb_regular_ft,LCB_0021,0
qwen_lcb_regular_ft,LCB_0022,0
qwen_lcb_regular_ft,LCB_0023,0
qwen_lcb_regular_ft,LCB_0024,0
qwen_lcb_regular_ft,LCB_0025,1
qwen_lcb_regular_ft,LCB_0026,1
qwen_lcb_regular_ft,LCB_0027,0
qwen_lcb_regular_ft,LCB_0028,0
qwen_lcb_regular_ft,LCB_0029,0
qwen_lcb_regular_ft,LCB_0030,0
qwen_lcb_regular_ft,LCB_0031,1
qwen_lcb_regular_ft,LCB_0032,0
qwen_lcb_regular_ft,LCB_0033,0
qwen_lcb_regular_ft,LCB_0034,0
qwen_lcb_regular_ft,LCB_0035,0
qwen_lcb_regular_ft,LCB_0036,0
qwen_lcb_regular_ft,LCB_0037,0
qwen_lcb_regular_ft,LCB_0038,1
qwen_lcb_regular_ft,LCB_0039,0
qwen_lcb_regular_ft,LCB_0040,1
qwen_lcb_regular_ft,LCB_0041,0
qwen_lcb_regular_ft,LCB_0042,1
qwen_lcb_regular_ft,LCB_0043,1
qwen_lcb_regular_ft,LCB_0044,0
qwen_lcb_regular_ft,LCB_0045,1
qwen_lcb_regular_ft,LCB_0046,0
qwen_lcb_regular_ft,LCB_0047,0
qwen_lcb_regular_ft,LCB_0048,0
qwen_lcb_regular_ft,LCB_0049,1
qwen_lcb_regular_ft,LCB_0050,0
qwen_lcb_regular_ft,LCB_0051,1
qwen_lcb_regular_ft,LCB_0052,0
qwen_lcb_regular_ft,LCB_0053,0
qwen_lcb_regular_ft,LCB_0054,1
qwen_lcb_regular_ft,LCB_0055,0
qwen_lcb_regular_ft,LCB_0056,0
qwen_lcb_regular_ft,LCB_0057,0
qwen_lcb_regular_ft,LCB_0058,0
qwen_lcb_regular_ft,LCB_0059,0
qwen_lcb_regular_ft,LCB_0060,0
qwen_lcb_regular_ft,LCB_0061,1
qwen_lcb_regular_ft,LCB_0062,0
qwen_lcb_regular_ft,LCB_0063,0
qwen_lcb_regular_ft,LCB_0064,0
qwen_lcb_regular_ft,LCB_0065,0
qwen_lcb_regular_ft,LCB_0066,0
qwen_lcb_regular_ft,LCB_0067,0
qwen_lcb_regular_ft,LCB_0068,1
qwen_lcb_regular_ft,LCB_0069,0
qwen_lcb_regular_ft,LCB_0070,1
qwen_lcb_regular_ft,LCB_0071,0
qwen_lcb_regular_ft,LCB_0072,0
qwen_lcb_regular_ft,LCB_0073,0
qwen_lcb_regular_ft,LCB_0074,1
qwen_lcb_regular_ft,LCB_0075,0
qwen_lcb_regular_ft,LCB_0076,0
qwen_lcb_regular_ft,LCB_0077,0
qwen_lcb_regular_ft,LCB_0078,0
qwen_lcb_regular_ft,LCB_0079,0
qwen_lcb_regular_ft,LCB_0080,1
qwen_lcb_regular_ft,LCB_0081,1
qwen_lcb_regular_ft,LCB_0082,0
qwen_lcb_regular_ft,LCB_0083,0
qwen_lcb_regular_ft,LCB_0084,0
qwen_lcb_regular_ft,LCB_0085,0
qwen_lcb_regular_ft,LCB_0086,0
qwen_lcb_regular_ft,LCB_0087,0
qwen_lcb_regular_ft,LCB_0088,0
qwen_lcb_regular_ft,LCB_0089,0
qwen_lcb_regular_ft,LCB_0090,0
qwen_lcb_regular_ft,LCB_0091,0
qwen_lcb_regular_ft,LCB_0092,0
qwen_lcb_regular_ft,LCB_0093,0
qwen_lcb_regular_ft,LCB_0094,0
qwen_lcb_regular_ft,LCB_0095,0
qwen_lcb_regular_ft,LCB_0096,0
qwen_lcb_regular_ft,LCB_0097,0
qwen_lcb_regular_ft,LCB_0098,0
qwen_lcb_regular_ft,LCB_0099,0
qwen_lcb_regular_ft,LCB_0100,0
qwen_lcb_regular_ft,LCB_0101,0
qwen_lcb_regular_ft,LCB_0102,0
qwen_lcb_regular_ft,LCB_0103,0
qwen_lcb_regular_ft,LCB_0104,0
qwen_lcb_regular_ft,LCB_0105,0
qwen_lcb_regular_ft,LCB_0106,0
qwen_lcb_regular_ft,LCB_0107,0
qwen_lcb_regular_ft,LCB_0108,0
qwen_lcb_regular_ft,LCB_0109,0
qwen_lcb_regular_ft,LCB_0110,0
qwen_lcb_regular_ft,LCB_0111,0
qwen_lcb_regular_ft,LCB_0112,0
qwen_lcb_regular_ft,LCB_0113,0
qwen_lcb_regular_ft,LCB_0114,0
qwen_lcb_regular_ft,LCB_0115,0
qwen_lcb_regular_ft,LCB_0116,0
qwen_lcb_regular_ft,LCB_0117,0
qwen_lcb_regular_ft,LCB_0118,0
qwen_lcb_regular_ft,LCB_0119,0
qwen_lcb_regular_ft,LCB_0120,1
qwen_lcb_regular_ft,LCB_0121,0
qwen_lcb_regular_ft,LCB_0122,0
qwen_lcb_regular_ft,LCB_0123,0
qwen_lcb_regular_ft,LCB_0124,0
qwen_lcb_regular_ft,LCB_0125,0
qwen_lcb_regular_ft,LCB_0126,0
qwen_lcb_regular_ft,LCB_0127,0
qwen_lcb_regular_ft,LCB_0128,0
qwen_lcb_regular_ft,LCB_0129,0
qwen_lcb_regular_ft,LCB_0130,0
qwen_lcb_regular_ft,LCB_0131,1
qwen_lcb_regular_ft,LCB_0132,0
qwen_lcb_regular_ft,LCB_0133,1
qwen_lcb_regular_ft,LCB_0134,0
qwen_lcb_regular_ft,LCB_0135,0
qwen_lcb_regular_ft,LCB_0136,0
qwen_lcb_regular_ft,LCB_0137,0
qwen_lcb_regular_ft,LCB_0138,1
